Nombre,Teléfono,Nicho,Punto Crítico Detectado,Beneficio Entregado,Link del Demo,Estatus en Embudo (CRM),Notas de Seguimiento,Link Búsqueda Google Maps
"FitZone - Fitness Studio","529992977422","Gimnasio","Solo Facebook","Una Web App para reserva de clases de Fitness optimizaría la operación diaria.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=FitZone%20-%20Fitness%20Studio%20M%C3%A9rida%20Yucat%C3%A1n"
"Yediz Gym Center","529996058454","Gimnasio","Sin horarios dinámicos","Un calendario digital interactivo permitiría a los socios consultar horarios de clases grupales.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Yediz%20Gym%20Center%20M%C3%A9rida%20Yucat%C3%A1n"
"Primus Gym","529991818303","Gimnasio","Sin presencia online","Una Landing Page con oferta de bienvenida captaría leads locales de forma automática.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Primus%20Gym%20M%C3%A9rida%20Yucat%C3%A1n"
"Forza Gym & Fitness Club","529991911898","Gimnasio","Pagos manuales","Una pasarela de pagos integraría el cobro de membresías y reduciría la morosidad.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Forza%20Gym%20%26%20Fitness%20Club%20M%C3%A9rida%20Yucat%C3%A1n"
"Fitkid MID","529995054022","Gimnasio","Sin info para padres","Un portal web para padres con horarios y progreso de los niños aumentaría el valor percibido.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Fitkid%20MID%20M%C3%A9rida%20Yucat%C3%A1n"
"ADDIX GYM","529994699388","Gimnasio","Facebook limitado","Un sitio web con CRM básico permitiría un seguimiento personalizado a los prospectos.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=ADDIX%20GYM%20M%C3%A9rida%20Yucat%C3%A1n"
"Two Gym Training Studio","529993039621","Gimnasio","Cero digitalización","Un sistema de gestión de socios digitalizaría el control de accesos y pagos.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Two%20Gym%20Training%20Studio%20M%C3%A9rida%20Yucat%C3%A1n"
"MGYM Muscle and Fitness","529991543647","Gimnasio","Sin vitrina digital","Un catálogo de servicios y suplementos online abriría una nueva línea de ingresos.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=MGYM%20Muscle%20and%20Fitness%20M%C3%A9rida%20Yucat%C3%A1n"
"Viper's Gym","529999006825","Gimnasio","Sin automatización","El registro de socios vía QR al entrar vinculado a una web mejoraría la experiencia.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Viper's%20Gym%20M%C3%A9rida%20Yucat%C3%A1n"
"Milo Gym","529991563144","Gimnasio","Contacto limitado","Un sitio con chat en vivo o bot de WhatsApp resolvería dudas frecuentes al instante.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Milo%20Gym%20M%C3%A9rida%20Yucat%C3%A1n"
"X-TREME FITNESS & DANCE","529994428168","Gimnasio","Solo redes sociales","Un sistema de reserva para clases de baile evitaría sobrecupos y mala experiencia de usuario.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=X-TREME%20FITNESS%20%26%20DANCE%20M%C3%A9rida%20Yucat%C3%A1n"
"Life Gym & Fitness","529991275543","Gimnasio","Dependencia de algoritmos","Una base de datos de correos/WhatsApp recolectada vía web permitiría remarketing directo.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Life%20Gym%20%26%20Fitness%20M%C3%A9rida%20Yucat%C3%A1n"
"The Muscle Factory","529993517727","Gimnasio","Imagen desactualizada","Un diseño web moderno elevaría el prestigio de la marca frente a gimnasios de cadena.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=The%20Muscle%20Factory%20M%C3%A9rida%20Yucat%C3%A1n"
